,capability,color,decorative,family,file,fontformat,fontversion,foundry,fullname,index,langs,outline,postscriptname,scalable,scripts,slant,style,symbol,variable,weight,width,antialias,pixelsize,spacing,size
247,otlayout:latn,False,False,"[('en', 'BPG Elite GPL&GNU')]",fonts-bpg-georgian/BPG_Elite_GPL&GNU.ttf,TrueType,196608,BPGI,"[('en', 'BPG Elite GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGEliteGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
248,,False,False,"[('en', 'BPG Excelsior Caps GPL&GNU')]",fonts-bpg-georgian/BPG_Excelsior_Caps_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Excelsior Caps GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGExcelsiorCapsGPL&GNU,True,common georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
249,,False,False,"[('en', 'BPG Excelsior Condencerd GPL&GNU')]",fonts-bpg-georgian/BPG_Excelsior_Condenced_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Excelsior Condencerd GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGExcelsiorCondencerdGPL&GNU,True,common georgian latin,0,"[('en', 'Condensed Regular')]",False,False,80.0,75.0,,,,
250,,False,False,"[('en', 'BPG Excelsior GPL&GNU')]",fonts-bpg-georgian/BPG_Excelsior_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Excelsior GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGExcelsiorGPL&GNU,True,common georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
251,,False,False,"[('en', 'BPG Glaho GPL&GNU')]",fonts-bpg-georgian/BPG_Glaho_GPL&GNU_2011.ttf,TrueType,589824,BPGI,"[('en', 'BPG Glaho GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGGlahoGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
252,,False,False,"[('en', 'BPG Gorda GPL&GNU')]",fonts-bpg-georgian/BPG_Gorda_GNU-GPL.ttf,TrueType,131269,BPGI,"[('en', 'BPG Gorda GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGGordaGPL&GNU,True,common georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
253,otlayout:latn,False,False,"[('en', 'BPG Ingiri GPL&GNU')]",fonts-bpg-georgian/BPG_Ingiri_GPL&GNU.ttf,TrueType,262144,BPGI,"[('en', 'BPG Ingiri GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGIngiriGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
254,otlayout:latn,False,False,"[('en', 'BPG Mrgvlovani Caps GNU&GPL')]",fonts-bpg-georgian/BPG_Mrgvlovani_Caps_GNU&GPL.ttf,TrueType,131203,BPGI,"[('en', 'BPG Mrgvlovani Caps GNU&GPL')]",0,an el en ty gl hz tr smn kj hr mt is av st no ln wa se af lez kwm nr ka cy hsb co sk vo om mh sma pap-an xh li vot nb sw ve et gd fil mk sel fr lv nv crh gv ch qu ro wo oc ik jv lt fi to kum zu bg nds rm ss ms sl pl rn csb so tn fur quz tk bs os ru sm sc rw la es cs mg nso eo ca da io smj pt uz ce it sn ny fo ho eu uk ku-tr ia ie sg fj lg tl mo hu yap kl ki fy wen pap-aw ng nn nl su id haw aa br ay sv sq bi kw sr de be za na lb ts ht,True,BPGMrgvlovaniCapsGNU&GPL,True,common cyrillic georgian greek inherited latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
255,otlayout:latn,False,False,"[('en', 'BPG Mrgvlovani GPL&GNU')]",fonts-bpg-georgian/BPG_Mrgvlovani_GPL&GNU.ttf,TrueType,131203,BPGI,"[('en', 'BPG Mrgvlovani GPL&GNU')]",0,an el en ty gl hz tr smn kj hr mt is av st no ln wa se af lez kwm nr ka cy hsb co sk vo om mh sma pap-an xh li vot nb sw ve et gd fil mk sel fr lv nv crh gv ch qu ro wo oc ik jv lt fi to kum zu bg nds rm ss ms sl pl rn csb so tn fur quz tk bs os ru sm sc rw la es cs mg nso eo ca da io smj pt uz ce it sn ny fo ho eu uk ku-tr ia ie sg fj lg tl mo hu yap kl ki fy wen pap-aw ng nn nl su id haw aa br ay sv sq bi kw sr de be za na lb ts ht,True,BPGMrgvlovaniGPL&GNU,True,common cyrillic georgian greek inherited latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
256,,False,False,"[('en', 'BPG Nateli Caps GPL&GNU')]",BPGI/BPG_Nateli_Caps_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Nateli Caps GPL&GNU')]",0,nb tl an os ru sw yap en sc gl gd fy rw kj fil pap-aw zu es mg ng nn nl is sel su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm kum ka bg nr so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BPGNateliCapsGPL&GNU,True,common cyrillic georgian latin unknown,0,"[('en', 'Regular')]",False,False,50.0,100.0,,,,
257,,False,False,"[('en', 'BPG Nateli Condenced GPL&GNU')]",BPGI/BPG_Nateli_Condenced_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Nateli Condenced GPL&GNU')]",0,nb tl an os ru sw yap en sc gl gd fy rw kj fil pap-aw zu es mg ng nn nl is sel su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm kum ka bg nr so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BPGNateliCondencedGPL&GNU,True,common cyrillic georgian latin unknown,0,"[('en', 'Regular')]",False,False,50.0,100.0,,,,
258,,False,False,"[('en', 'BPG Nateli GPL&GNU')]",BPGI/BPG_Nateli_GPL&GNU.ttf,TrueType,131269,BPGI,"[('en', 'BPG Nateli GPL&GNU')]",0,nb tl an os ru sw yap en sc gl gd fy rw kj fil pap-aw zu es mg ng nn nl is sel su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm kum ka bg nr so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BPGNateliGPL&GNU,True,common cyrillic georgian latin unknown,0,"[('en', 'Regular')]",False,False,50.0,100.0,,,,
259,otlayout:latn,False,False,"[('en', 'BPG Nino Medium Cond GPL&GNU')]",fonts-bpg-georgian/BPG_Nino_Medium_Cond_GPL&GNU.ttf,TrueType,262472,BPGI,"[('en', 'BPG Nino Medium Cond GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGNinoMediumCondGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
260,otlayout:latn,False,False,"[('en', 'BPG Nino Medium GPL&GNU')]",fonts-bpg-georgian/BPG_Nino_Medium_GPL&GNU.ttf,TrueType,262472,BPGI,"[('en', 'BPG Nino Medium GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGNinoMediumGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,100.0,100.0,,,,
261,,False,False,"[('en', 'BPG Sans GPL&GNU')]",fonts-bpg-georgian/BPG_Sans_GPL&GNU.ttf,TrueType,65864,BPGI,"[('en', 'BPG Sans GPL&GNU')]",0,os ru sw rw kj ng sel io uz st sn ho ia kwm kum ka bg nr zu om ss ms za rn xh so ts fj,True,BPGSansGPL&GNU,True,common cyrillic georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
262,,False,False,"[('en', 'BPG Sans Medium GPL&GNU')]",fonts-bpg-georgian/BPG_Sans_Medium_GPL&GNU.ttf,TrueType,65864,BPGI,"[('en', 'BPG Sans Medium GPL&GNU')]",0,os ru sw rw kj ng sel io uz st sn ho ia kwm kum ka bg nr zu om ss ms za rn xh so ts fj,True,BPGSansMediumGPL&GNU,True,common cyrillic georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
263,otlayout:latn,False,False,"[('en', 'BPG Sans Modern GPL&GNU')]",PFED/BPG_Sans_Modern_GPL&GNU.ttf,TrueType,132710,PfEd,"[('en', 'BPG Sans Modern GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGSansModernGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
264,,False,False,"[('en', 'BPG Sans Regular GPL&GNU')]",fonts-bpg-georgian/BPG_Sans_Regular_GPL&GNU.ttf,TrueType,65864,BPGI,"[('en', 'BPG Sans Regular GPL&GNU')]",0,os ru sw rw kj ng sel io uz st sn ho ia kwm kum ka bg nr zu om ss ms za rn xh so ts fj,True,BPGSansRegularGPL&GNU,True,common cyrillic georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
265,otlayout:latn,False,False,"[('en', 'BPG Serif GPL&GNU')]",fonts-bpg-georgian/BPG_Serif_GPL&GNU.ttf,TrueType,65864,BPGI,"[('en', 'BPG Serif GPL&GNU')]",0,os ru sw rw kj ng sel io uz st sn ho ia kwm kum ka bg nr zu om ss ms za rn xh so ts fj,True,BPGSerifGPL&GNU,True,common cyrillic georgian latin,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
266,otlayout:latn,False,False,"[('en', 'BPG Serif Modern GPL&GNU')]",PFED/BPG_Serif_Modern_GPL&GNU.ttf,TrueType,132907,PfEd,"[('en', 'BPG Serif Modern GPL&GNU')]",0,sw rw kj ng io uz st sn ho ia kwm nr ka zu om ss ms za rn xh so ts fj,True,BPGSerifModernGPL&GNU,True,common georgian latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
267,,False,False,"[('en', 'BPG Unicode Standard')]",BPGI/BPG_Unicode_Standard.ttf,TrueType,131400,BPGI,"[('en', 'BPG Unicode Standard')]",0,an en gl tr kj is st no wa kwm nr ka co vo om sma pap-an xh li vot nb sw et gd fil fr crh gv ch oc jv fi zu nds rm ss ms rn so tn fur sc rw es mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl yap fy pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,BPGUnicodeStandard,True,common georgian greek latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
268,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham')]",ACW/BabelStoneOghamR.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOgham,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
269,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Bound')]",ACW/BabelStoneOghamBoundR.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham Bound')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamBound,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
270,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Bound')]",ACW/BabelStoneOghamBoundI.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham Bound Italic')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamBound-Italic,True,common inherited latin ogham,100,"[('en', 'Italic'), ('ca', 'Cursiva'), ('cs', 'kurzíva'), ('da', 'kursiv'), ('el', 'Πλάγια'), ('fi', 'Kursivoitu'), ('fr', 'Italique'), ('hu', 'Dőlt'), ('it', 'Corsivo'), ('nl', 'Cursief'), ('pl', 'Kursywa'), ('pt', 'Itálico'), ('ru', 'Курсив'), ('tr', 'İtalik'), ('sl', 'Poševno'), ('eu', 'Etzana')]",False,False,80.0,100.0,,,,
271,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Fixed')]",ACW/BabelStoneOghamFixed.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham Fixed')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamFixed,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,100.0,
272,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham')]",ACW/BabelStoneOghamI.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham Italic')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOgham-Italic,True,common inherited latin ogham,100,"[('en', 'Italic'), ('ca', 'Cursiva'), ('cs', 'kurzíva'), ('da', 'kursiv'), ('el', 'Πλάγια'), ('fi', 'Kursivoitu'), ('fr', 'Italique'), ('hu', 'Dőlt'), ('it', 'Corsivo'), ('nl', 'Cursief'), ('pl', 'Kursywa'), ('pt', 'Itálico'), ('ru', 'Курсив'), ('tr', 'İtalik'), ('sl', 'Poševno'), ('eu', 'Etzana')]",False,False,80.0,100.0,,,,
273,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Lithic')]",ACW/BabelStoneOghamLithic.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Lithic')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamLithic,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
274,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Pictish')]",ACW/BabelStoneOghamPictishR.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Pictish')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamPictish,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
275,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Pictish')]",ACW/BabelStoneOghamPictishB.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Pictish Bold')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamPictish-Bold,True,common inherited latin ogham,0,"[('en', 'Bold'), ('ca', 'Negreta'), ('cs', 'tučné'), ('da', 'fed'), ('de', 'Fett'), ('el', 'Έντονα'), ('es', 'Negrita'), ('fi', 'Lihavoitu'), ('fr', 'Gras'), ('hu', 'Félkövér'), ('it', 'Grassetto'), ('nl', 'Vet'), ('no', 'Halvfet'), ('pl', 'Pogrubiony'), ('pt', 'Negrito'), ('ru', 'Полужирный'), ('sv', 'Fet'), ('tr', 'Kalın'), ('sl', 'Krepko'), ('eu', 'Lodia')]",False,False,200.0,100.0,,,,
276,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Pictish')]",ACW/BabelStoneOghamPictishBI.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Pictish Bold Italic')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamPictish-BoldItalic,True,common inherited latin ogham,100,"[('en', 'Bold Italic'), ('ca', 'Negreta cursiva'), ('cs', 'tučné kurzíva'), ('da', 'fed kursiv'), ('de', 'Fett Kursiv'), ('el', 'Έντονα Πλάγια'), ('es', 'Negrita Cursiva'), ('fi', 'Lihavoitu Kursivoi'), ('fr', 'Gras Italique'), ('hu', 'Félkövér dőlt'), ('it', 'Grassetto Corsivo'), ('nl', 'Vet Cursief'), ('no', 'Halvfet Kursiv'), ('pl', 'Pogrubiona kursywa'), ('pt', 'Negrito Itálico'), ('ru', 'Полужирный Курсив'), ('sk', 'Tučná kurzíva'), ('sv', 'Fet Kursiv'), ('tr', 'Kalın İtalik'), ('sl', 'Krepko poševno'), ('eu', 'Lodi etzana')]",False,False,200.0,100.0,,,,
277,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Pictish')]",ACW/BabelStoneOghamPictishI.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Pictish Italic')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamPictish-Italic,True,common inherited latin ogham,100,"[('en', 'Italic'), ('ca', 'Cursiva'), ('cs', 'kurzíva'), ('da', 'kursiv'), ('el', 'Πλάγια'), ('fi', 'Kursivoitu'), ('fr', 'Italique'), ('hu', 'Dőlt'), ('it', 'Corsivo'), ('nl', 'Cursief'), ('pl', 'Kursywa'), ('pt', 'Itálico'), ('ru', 'Курсив'), ('tr', 'İtalik'), ('sl', 'Poševno'), ('eu', 'Etzana')]",False,False,80.0,100.0,,,,
278,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Special')]",ACW/BabelStoneOghamSpecial.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Ogham Special')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamSpecial,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
279,otlayout:ogam,False,False,"[('en', 'BabelStone Ogham Stemless')]",ACW/BabelStoneOghamStemless.ttf,TrueType,131138,ACW ,"[('en', 'BabelStone Ogham Stemless')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStoneOghamStemless,True,common inherited latin ogham,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
280,otlayout:latn,False,False,"[('en', 'BabelStone Phags-pa Book')]",ACW/BabelStonePhagspaBook_v1.ttf,TrueType,65667,ACW ,"[('en', 'BabelStone Phags-pa Book')]",0,an en gl tr smn kj hr mt is st no wa se af kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch wo oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw la es cs mg nso eo ca da io smj pt uz it sn ny fo ho eu ku-tr ia ie sg fj ast lg tl hu yap kl ki fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za na lb ts ht,True,BabelStonePhags-paBook,True,common han inherited latin mongolian phags_pa unknown,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
281,otlayout:latn,False,False,"[('en', 'BabelStone Phags-pa Seal')]",ACW/BabelStonePhagspaSeal_v1.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Phags-pa Seal')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStonePhags-paSeal,True,common han inherited latin phags_pa unknown,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
282,otlayout:latn,False,False,"[('en', 'BabelStone Phags-pa Tibetan A')]",ACW/BabelStonePhagspaTibetanA_v1.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Phags-pa Tibetan A')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStonePhags-paTibetanA,True,common han inherited latin phags_pa unknown,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,210.0,75.0,,,,
283,otlayout:latn,False,False,"[('en', 'BabelStone Phags-pa Tibetan B')]",ACW/BabelStonePhagspaTibetanB_v1.ttf,TrueType,65602,ACW ,"[('en', 'BabelStone Phags-pa Tibetan B')]",0,nb tl an yap sw en sc gl gd fy rw kj fil pap-aw es mg ng nn nl is su id da io aa br gv pt ch smj st uz it oc no fo sn wa jv ay eu ho bi sq sv ia kwm nr zu so ie nds rm de vo om ss ms za lb sg rn sma pap-an xh li ts ht fur fj,True,BabelStonePhags-paTibetanB,True,common han inherited latin phags_pa unknown,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,210.0,75.0,,,,
284,otlayout:runr,False,False,"[('en', 'BabelStone Runic')]",ACW/BabelStoneRunic.ttf,TrueType,458883,ACW ,"[('en', 'BabelStone Runic')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,BabelStoneRunic,True,common inherited latin runic,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
285,otlayout:runr,False,False,"[('en', 'BabelStone Runic Ruled')]",ACW/BabelStoneRunicRuled.ttf,TrueType,458883,ACW ,"[('en', 'BabelStone Runic Ruled')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,BabelStoneRunicRuled,True,common inherited latin runic,0,"[('en', 'Regular'), ('ca', 'Normal'), ('cs', 'obyčejné'), ('de', 'Standard'), ('el', 'Κανονικά'), ('fi', 'Normaali'), ('hu', 'Normál'), ('it', 'Normale'), ('nl', 'Standaard'), ('pl', 'Normalny'), ('ru', 'Обычный'), ('sk', 'Normálne'), ('sl', 'Navadno'), ('eu', 'Arrunta')]",False,False,80.0,100.0,,,,
