,capability,color,decorative,family,file,fontformat,fontversion,foundry,fullname,index,langs,outline,postscriptname,scalable,scripts,slant,style,symbol,variable,weight,width,antialias,pixelsize,spacing,size
10,otlayout:DFLT otlayout:bopo otlayout:cyrl otlayout:grek otlayout:hani otlayout:kana otlayout:latn,False,False,"[('en', 'AR PL UMing TW MBE')]",PFED/uming.ttc,TrueType,13107,PfEd,"[('en', 'AR PL UMing TW MBE')]",3,an en ty gl hz tr smn kj hr mt is gn st vi bin no wa se af kwm nr cy hsb co sk vo om mh sma pap-an xh li vot nb sw mi ve et gd fil sel fr lv nv crh shs gv zh-cn ch qu ro wo oc jv lt fi zu kum bg nds rm ss ms sl pl rn csb so tn fur quz tk bs os ru zh-sg zh-hk sc ga rw la es cs mg nso eo ca ig da io smj pt uz it sn ny fo ho eu ku-tr ia ie sg fj ast zh-mo lg tl mo hu yap yo kl ki fy wen pap-aw ng nn nl su id aa br ay sv sq bi kw de zh-tw za na lb ts ht,True,UMingTWMBE,True,bopomofo common cyrillic greek han hiragana inherited katakana latin unknown,0,"[('en', 'Light')]",False,False,50.0,100.0,,,,
11,otlayout:DFLT otlayout:sinh,False,False,"[('en', 'Abhaya Libre')]",UNKNOWN/AbhayaLibre-Bold.ttf,TrueType,68812,unknown,"[('en', 'Abhaya Libre Bold')]",0,an en si gl tr kj hr is st no wa kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch ro oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw es cs mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl hu yap fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,AbhayaLibre-Bold,True,common greek inherited latin sinhala unknown,0,"[('en', 'Bold')]",False,False,200.0,100.0,,,,
12,otlayout:DFLT otlayout:sinh,False,False,"[('en', 'Abhaya Libre ExtraBold'), ('en', 'Abhaya Libre')]",UNKNOWN/AbhayaLibre-ExtraBold.ttf,TrueType,68812,unknown,"[('en', 'Abhaya Libre ExtraBold')]",0,an en si gl tr kj hr is st no wa kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch ro oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw es cs mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl hu yap fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,AbhayaLibre-ExtraBold,True,common greek inherited latin sinhala unknown,0,"[('en', 'Regular'), ('en', 'ExtraBold')]",False,False,205.0,100.0,,,,
13,otlayout:DFLT otlayout:sinh,False,False,"[('en', 'Abhaya Libre Medium'), ('en', 'Abhaya Libre')]",UNKNOWN/AbhayaLibre-Medium.ttf,TrueType,68812,unknown,"[('en', 'Abhaya Libre Medium')]",0,an en si gl tr kj hr is st no wa kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch ro oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw es cs mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl hu yap fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,AbhayaLibre-Medium,True,common greek inherited latin sinhala unknown,0,"[('en', 'Regular'), ('en', 'Medium')]",False,False,100.0,100.0,,,,
14,otlayout:DFLT otlayout:sinh,False,False,"[('en', 'Abhaya Libre')]",UNKNOWN/AbhayaLibre-Regular.ttf,TrueType,68812,unknown,"[('en', 'Abhaya Libre Regular')]",0,an en si gl tr kj hr is st no wa kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch ro oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw es cs mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl hu yap fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,AbhayaLibre-Regular,True,common greek inherited latin sinhala unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
15,otlayout:DFLT otlayout:sinh,False,False,"[('en', 'Abhaya Libre SemiBold'), ('en', 'Abhaya Libre')]",UNKNOWN/AbhayaLibre-SemiBold.ttf,TrueType,68812,unknown,"[('en', 'Abhaya Libre SemiBold')]",0,an en si gl tr kj hr is st no wa kwm nr hsb co sk vo om mh sma pap-an xh li vot nb sw et gd fil fr lv crh gv ch ro oc jv lt fi zu nds rm ss ms sl pl rn csb so tn fur tk bs sc rw es cs mg nso da io smj pt uz it sn fo ho eu ku-tr ia ie sg fj tl hu yap fy wen pap-aw ng nn nl su id aa br ay sv sq bi de za lb ts ht,True,AbhayaLibre-SemiBold,True,common greek inherited latin sinhala unknown,0,"[('en', 'Regular'), ('en', 'SemiBold')]",False,False,180.0,100.0,,,,
16,otlayout:cans otlayout:latn,False,False,"[('en', 'Aboriginal Sans')]",LANG/AboriginalSansREGULAR9433.ttf,TrueType,618201,LANG,"[('en', 'Aboriginal Sans')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSans,True,canadian_aboriginal cherokee common greek inherited latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
17,otlayout:DFLT otlayout:cans,False,False,"[('en', 'Aboriginal Sans')]",LANG/AboriginalSansBOLD.ttf,TrueType,629276,LANG,"[('en', 'Aboriginal Sans Bold')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSans-Bold,True,canadian_aboriginal cherokee common greek inherited latin unknown,0,"[('en', 'Bold')]",False,False,200.0,100.0,,,,
18,otlayout:DFLT otlayout:cans,False,False,"[('en', 'Aboriginal Sans')]",LANG/AboriginalSansBOLDITALIC.ttf,TrueType,629276,LANG,"[('en', 'Aboriginal Sans Bold Italic')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSans-BoldItalic,True,canadian_aboriginal cherokee common greek inherited latin unknown,100,"[('en', 'Bold Italic')]",False,False,200.0,100.0,,,,
19,otlayout:cans otlayout:latn,False,False,"[('en', 'Aboriginal Sans')]",LANG/AboriginalSansITALIC9433.ttf,TrueType,618201,LANG,"[('en', 'Aboriginal Sans Italic')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSans-Italic,True,canadian_aboriginal cherokee common greek inherited latin unknown,100,"[('en', 'Italic')]",False,False,80.0,100.0,,,,
